Date : 2025-11-19 15:40:20
Directory : c:\Users\snltty\Desktop\linker\src\linker.web
Total : 218 files,  24592 codes, 40 comments, 1113 blanks, all 25745 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\views\layout\full\logger                                                                    |          2 |        311 |          0 |         21 |        332 |
| src\views\layout\full\transport                                                                 |          1 |         27 |          0 |          0 |         27 |
| src\views\layout\full\wakeup                                                                    |          1 |         34 |          0 |          2 |         36 |
| src\views\layout\net                                                                            |          3 |        206 |          0 |         14 |        220 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                        | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\snltty\Desktop\linker\src\linker.web\README.md                                         | Markdown           |         15 |          0 |          5 |         20 |
| c:\Users\snltty\Desktop\linker\src\linker.web\babel.config.js                                   | JavaScript         |          5 |          0 |          1 |          6 |
| c:\Users\snltty\Desktop\linker\src\linker.web\jsconfig.json                                     | JSON with Comments |         19 |          0 |          1 |         20 |
| c:\Users\snltty\Desktop\linker\src\linker.web\package-lock.json                                 | JSON               |      9,999 |          0 |          1 |     10,000 |
| c:\Users\snltty\Desktop\linker\src\linker.web\package.json                                      | JSON               |         31 |          0 |          1 |         32 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\404_default.html                           | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\action.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\aliyun.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\alpine.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\amazon.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\android.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\archlinux.svg                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\armbian.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\blist.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\centos.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\chinamobile.svg                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\chinanet.svg                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\chinaunicom.svg                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\debian.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\docker.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\fedora.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\firewall.svg                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\google.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\home.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\huawei.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\index.html                                 | HTML               |         23 |          1 |          3 |         27 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\ios.svg                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\iphone.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\jdcom.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\linux.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\logger.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\openwrt.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\oppo.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\refresh.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\rocky.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\samsung.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\server.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\system.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\transport.svg                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\ubuntu.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\vivo.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\wakeup.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\windows.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\wlist-none.svg                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\wlist.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\xiaomi.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\App.vue                                       | Vue                |         43 |          0 |          4 |         47 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\access.js                                | JavaScript         |         13 |          0 |          1 |         14 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\action.js                                | JavaScript         |          7 |          0 |          2 |          9 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\cdkey.js                                 | JavaScript         |         25 |          0 |          1 |         26 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\config.js                                | JavaScript         |         22 |          0 |          2 |         24 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\decenter.js                              | JavaScript         |          7 |          0 |          3 |         10 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\firewall.js                              | JavaScript         |         16 |          0 |          1 |         17 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\flow.js                                  | JavaScript         |         28 |          0 |          1 |         29 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\forward.js                               | JavaScript         |         16 |          0 |          2 |         18 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\logger.js                                | JavaScript         |         13 |          0 |          4 |         17 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\plan.js                                  | JavaScript         |         10 |          0 |          2 |         12 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\relay.js                                 | JavaScript         |         28 |          0 |          1 |         29 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\request.js                               | JavaScript         |        158 |         19 |          8 |        185 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\sforward.js                              | JavaScript         |         31 |          0 |          5 |         36 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\signin.js                                | JavaScript         |         37 |          0 |          6 |         43 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\socks5.js                                | JavaScript         |         16 |          0 |          1 |         17 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\sync.js                                  | JavaScript         |          7 |          0 |          1 |          8 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\tunnel.js                                | JavaScript         |         34 |          0 |          5 |         39 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\tuntap.js                                | JavaScript         |         40 |          0 |          6 |         46 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\updater.js                               | JavaScript         |         37 |          0 |          4 |         41 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\wakeup.js                                | JavaScript         |         19 |          0 |          1 |         20 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\wlist.js                                 | JavaScript         |         19 |          0 |          0 |         19 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\cell.svg                               | XML                |          5 |          0 |          0 |          5 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\coin.svg                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\dianchi.svg                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\group.svg                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\loading.svg                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\no-permission.svg                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\run.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\style.css                              | PostCSS            |        394 |          9 |        109 |        512 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\lang\en-us.js                                 | JavaScript         |        384 |          0 |         30 |        414 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\lang\index.js                                 | JavaScript         |         18 |          0 |          1 |         19 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\lang\provide.js                               | JavaScript         |         19 |          0 |          0 |         19 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\lang\zh-cn.js                                 | JavaScript         |        470 |          0 |         40 |        510 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\main.js                                       | JavaScript         |         78 |          0 |          8 |         86 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\provide.js                                    | JavaScript         |         44 |          3 |          5 |         52 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\router\index.js                               | JavaScript         |         63 |          0 |          3 |         66 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\Api.vue                                 | Vue                |        134 |          0 |         12 |        146 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\NoPermission.vue                        | Vue                |         41 |          0 |          5 |         46 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\Refresh.vue                             | Vue                |         71 |          0 |          8 |         79 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\accesss\Access.vue           | Vue                |        103 |          0 |          5 |        108 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\accesss\AccessBoolean.vue    | Vue                |         20 |          0 |          5 |         25 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\accesss\AccessEdit.vue       | Vue                |         61 |          0 |          3 |         64 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\accesss\AccessNum.vue        | Vue                |         23 |          0 |          5 |         28 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\accesss\AccessShow.vue       | Vue                |         17 |          0 |          4 |         21 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\accesss\access.js            | JavaScript         |         40 |          0 |          3 |         43 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\action\Action.vue            | Vue                |         72 |          0 |          1 |         73 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\action\Oper.vue              | Vue                |         24 |          0 |          6 |         30 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\action\OperDialog.vue        | Vue                |         40 |          0 |          0 |         40 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\action\action.js             | JavaScript         |         15 |          0 |          1 |         16 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\adv\Index.vue                | Vue                |         39 |          0 |          7 |         46 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\decenter\decenter.js         | JavaScript         |         43 |          0 |          3 |         46 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\device\Device.vue            | Vue                |         56 |          0 |          5 |         61 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\device\DeviceEdit.vue        | Vue                |         66 |          0 |          3 |         69 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\device\DeviceName.vue        | Vue                |         56 |          0 |          8 |         64 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\device\devices.js            | JavaScript         |        147 |          1 |          7 |        155 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\firewall\Add.vue             | Vue                |        210 |          0 |         11 |        221 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\firewall\Firewall.vue        | Vue                |        290 |          0 |         15 |        305 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\firewall\Oper.vue            | Vue                |         40 |          0 |          6 |         46 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\firewall\OperDialog.vue      | Vue                |         40 |          0 |          2 |         42 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\firewall\firewall.js         | JavaScript         |         15 |          0 |          1 |         16 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\Index.vue               | Vue                |        190 |          0 |         16 |        206 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\OnlineAllMap.vue        | Vue                |         75 |          0 |          9 |         84 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\OnlineMap.vue           | Vue                |         87 |          0 |          9 |         96 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\Oper.vue                | Vue                |         30 |          0 |          7 |         37 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\OperDialog.vue          | Vue                |         31 |          0 |          1 |         32 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowForward.vue   | Vue                |        149 |          0 |         11 |        160 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowMessenger.vue | Vue                |        111 |          0 |         12 |        123 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowRelay.vue     | Vue                |        141 |          0 |         10 |        151 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowSForward.vue  | Vue                |        141 |          0 |         10 |        151 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowSocks5.vue    | Vue                |        149 |          0 |         11 |        160 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowTunnel.vue    | Vue                |        157 |          0 |         11 |        168 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\flow.js                 | JavaScript         |         22 |          0 |          1 |         23 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\messenger\Index.vue     | Vue                |        101 |          0 |         11 |        112 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\stopwatch\Index.vue     | Vue                |         42 |          0 |          4 |         46 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\stopwatch\Stopwatch.vue | Vue                |         56 |          0 |          5 |         61 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\Config.vue           | Vue                |         59 |          1 |          4 |         64 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\EditNode.vue         | Vue                |        123 |          0 |          7 |        130 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\Forward.vue          | Vue                |         86 |          0 |          4 |         90 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\ForwardEdit.vue      | Vue                |        318 |          0 |         13 |        331 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\Nodes.vue            | Vue                |        156 |          0 |          4 |        160 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\SForwardEdit.vue     | Vue                |        319 |          0 |         15 |        334 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\forward.js           | JavaScript         |         16 |          0 |          1 |         17 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\sforward.js          | JavaScript         |         17 |          0 |          3 |         20 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\global\PcShow.vue            | Vue                |         16 |          0 |          5 |         21 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\global\PhoneShow.vue         | Vue                |         17 |          0 |          4 |         21 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\groups\Groups.vue            | Vue                |        156 |          3 |          5 |        164 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\groups\Index.vue             | Vue                |         85 |          0 |          3 |         88 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\Oper.vue                | Vue                |        147 |          0 |         16 |        163 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\oper.js                 | JavaScript         |         14 |          0 |          1 |         15 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\plan\PlanEdit.vue            | Vue                |        279 |          0 |          9 |        288 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\plan\PlanList.vue            | Vue                |         66 |          0 |          5 |         71 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\plan\PlanShow.vue            | Vue                |         90 |          0 |          7 |         97 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\relay\Config.vue             | Vue                |         83 |          0 |          4 |         87 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\relay\EditNode.vue           | Vue                |        114 |          0 |          4 |        118 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\relay\Nodes.vue              | Vue                |        222 |          0 |          6 |        228 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\Socks5.vue            | Vue                |         21 |          0 |          1 |         22 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\Socks5Edit.vue        | Vue                |         86 |          0 |          3 |         89 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\Socks5Lan.vue         | Vue                |        146 |          0 |          5 |        151 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\Socks5Show.vue        | Vue                |        133 |          0 |          9 |        142 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\socks5.js             | JavaScript         |         58 |          0 |          5 |         63 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\Api.vue               | Vue                |         53 |          0 |          1 |         54 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\Export.vue            | Vue                |        262 |          1 |         18 |        281 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\Index.vue             | Vue                |         81 |          1 |          4 |         86 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\server\Flow.vue       | Vue                |         43 |          0 |          3 |         46 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\server\Index.vue      | Vue                |         39 |          0 |          3 |         42 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\server\Version.vue    | Vue                |        154 |          0 |         11 |        165 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\sync\Ids.vue                 | Vue                |         54 |          0 |          4 |         58 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\sync\Index.vue               | Vue                |         95 |          0 |          3 |         98 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\transport\Oper.vue           | Vue                |         36 |          0 |          4 |         40 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\transport\OperDialog.vue     | Vue                |         43 |          0 |          4 |         47 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\transport\Transport.vue      | Vue                |         93 |          0 |          3 |         96 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\transport\transport.js       | JavaScript         |         15 |          0 |          1 |         16 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\ConnectionShow.vue    | Vue                |         74 |          0 |          8 |         82 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\ConnectionsEdit.vue   | Vue                |        244 |          1 |         16 |        261 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\Tunnel.vue            | Vue                |        127 |          0 |         10 |        137 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\TunnelEdit.vue        | Vue                |        124 |          0 |          6 |        130 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\connections.js        | JavaScript         |         78 |          0 |         13 |         91 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\tunnel.js             | JavaScript         |        112 |          0 |         10 |        122 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\SystemInfo.vue        | Vue                |         26 |          0 |          2 |         28 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\Tuntap.vue            | Vue                |         30 |          0 |          3 |         33 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapEdit.vue        | Vue                |         83 |          0 |          5 |         88 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapForward.vue     | Vue                |        191 |          0 |         10 |        201 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapIP.vue          | Vue                |        119 |          0 |          7 |        126 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapLan.vue         | Vue                |        163 |          0 |          5 |        168 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapLease.vue       | Vue                |        133 |          0 |          5 |        138 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapRoutes.vue      | Vue                |         48 |          0 |          4 |         52 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapShow.vue        | Vue                |        175 |          0 |         12 |        187 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\tuntap.js             | JavaScript         |         76 |          0 |         10 |         86 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\updater\Config.vue           | Vue                |         37 |          0 |          2 |         39 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\updater\UpdaterBtn.vue       | Vue                |        133 |          0 |          9 |        142 |
