Date : 2025-08-26 21:29:27
Directory : c:\Users\snltty\Desktop\linker\src\linker.web
Total : 197 files,  24819 codes, 44 comments, 1058 blanks, all 25921 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\views\layout\full\action                                                                      |          1 |         25 |          0 |          0 |         25 |
| src\views\layout\full\config                                                                      |          2 |        125 |          7 |          5 |        137 |
| src\views\layout\full\firewall                                                                    |          1 |         35 |          0 |          3 |         38 |
| src\views\layout\full\head                                                                        |          5 |        438 |          0 |         38 |        476 |
| src\views\layout\full\install                                                                     |          7 |        617 |          0 |         34 |        651 |
| src\views\layout\full\list                                                                        |          2 |        298 |          0 |         36 |        334 |
| src\views\layout\full\logger                                                                      |          2 |        290 |          0 |         22 |        312 |
| src\views\layout\full\transport                                                                   |          1 |         27 |          0 |          0 |         27 |
| src\views\layout\full\wakeup                                                                      |          1 |         35 |          0 |          2 |         37 |
| src\views\layout\net                                                                              |          3 |        221 |          0 |         22 |        243 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                          | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\snltty\Desktop\linker\src\linker.web\README.md                                           | Markdown           |         15 |          0 |          5 |         20 |
| c:\Users\snltty\Desktop\linker\src\linker.web\babel.config.js                                     | JavaScript         |          5 |          0 |          1 |          6 |
| c:\Users\snltty\Desktop\linker\src\linker.web\jsconfig.json                                       | JSON with Comments |         19 |          0 |          1 |         20 |
| c:\Users\snltty\Desktop\linker\src\linker.web\package-lock.json                                   | JSON               |      9,999 |          0 |          1 |     10,000 |
| c:\Users\snltty\Desktop\linker\src\linker.web\package.json                                        | JSON               |         31 |          0 |          1 |         32 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\aliyun.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\alpine.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\amazon.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\android.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\archlinux.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\armbian.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\centos.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\chinamobile.svg                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\chinanet.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\chinaunicom.svg                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\debian.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\docker.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\fedora.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\google.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\huawei.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\index.html                                   | HTML               |         23 |          1 |          3 |         27 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\ios.svg                                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\iphone.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\jdcom.svg                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\linux.svg                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\openwrt.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\oppo.svg                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\rocky.svg                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\samsung.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\system.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\ubuntu.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\vivo.svg                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\windows.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\public\xiaomi.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\App.vue                                         | Vue                |         35 |          0 |          5 |         40 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\access.js                                  | JavaScript         |         13 |          0 |          1 |         14 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\action.js                                  | JavaScript         |          7 |          0 |          2 |          9 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\cdkey.js                                   | JavaScript         |         25 |          0 |          1 |         26 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\config.js                                  | JavaScript         |         22 |          0 |          2 |         24 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\firewall.js                                | JavaScript         |         16 |          0 |          1 |         17 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\flow.js                                    | JavaScript         |         28 |          0 |          1 |         29 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\forward.js                                 | JavaScript         |         28 |          0 |          2 |         30 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\logger.js                                  | JavaScript         |         13 |          0 |          4 |         17 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\plan.js                                    | JavaScript         |         10 |          0 |          2 |         12 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\relay.js                                   | JavaScript         |         28 |          0 |          1 |         29 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\request.js                                 | JavaScript         |        158 |         19 |          8 |        185 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\sforward.js                                | JavaScript         |         37 |          0 |          5 |         42 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\signin.js                                  | JavaScript         |         37 |          0 |          6 |         43 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\socks5.js                                  | JavaScript         |         22 |          0 |          3 |         25 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\sync.js                                    | JavaScript         |          7 |          0 |          1 |          8 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\tunnel.js                                  | JavaScript         |         28 |          0 |          4 |         32 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\tuntap.js                                  | JavaScript         |         46 |          0 |          7 |         53 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\updater.js                                 | JavaScript         |         37 |          0 |          4 |         41 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\wakeup.js                                  | JavaScript         |         19 |          0 |          1 |         20 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\wlist.js                                   | JavaScript         |         10 |          0 |          0 |         10 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\anquan.svg                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\cell.svg                                 | XML                |          5 |          0 |          0 |          5 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\coin.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\dadong.svg                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\dianchi.svg                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\fuwuqi.svg                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\group.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\loading.svg                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\login.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\no-permission.svg                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\qidong.svg                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\rizhi.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\run.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\shouye.svg                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\shuaxin2.svg                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\style.css                                | PostCSS            |        394 |          9 |        109 |        512 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\lang\en-us.js                                   | JavaScript         |        379 |          0 |         30 |        409 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\lang\index.js                                   | JavaScript         |         18 |          0 |          1 |         19 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\lang\provide.js                                 | JavaScript         |         19 |          0 |          0 |         19 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\lang\zh-cn.js                                   | JavaScript         |        465 |          0 |         40 |        505 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\main.js                                         | JavaScript         |         68 |          0 |          9 |         77 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\provide.js                                      | JavaScript         |         40 |          3 |          4 |         47 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\router\index.js                                 | JavaScript         |         61 |          0 |          4 |         65 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\Api.vue                                   | Vue                |        128 |          0 |          9 |        137 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\NoPermission.vue                          | Vue                |         41 |          0 |          5 |         46 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\Refresh.vue                               | Vue                |         71 |          0 |          8 |         79 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\accesss\Access.vue             | Vue                |        106 |          0 |          5 |        111 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\accesss\AccessEdit.vue         | Vue                |         60 |          0 |          3 |         63 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\accesss\AccessNum.vue          | Vue                |         29 |          0 |          5 |         34 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\accesss\access.js              | JavaScript         |         35 |          0 |          3 |         38 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\action\Action.vue              | Vue                |         72 |          0 |          1 |         73 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\cdkey\Add.vue                  | Vue                |        143 |          0 |          3 |        146 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\cdkey\Flags.vue                | Vue                |         43 |          0 |          7 |         50 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\cdkey\Index.vue                | Vue                |         30 |          0 |          5 |         35 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\cdkey\Manager.vue              | Vue                |        189 |          0 |          5 |        194 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\cdkey\My.vue                   | Vue                |        193 |          0 |          6 |        199 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\cdkey\Test.vue                 | Vue                |        198 |          0 |          3 |        201 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\connection\ConnectionShow.vue  | Vue                |         86 |          0 |          9 |         95 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\connection\ConnectionsEdit.vue | Vue                |        281 |          0 |         13 |        294 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\connection\connections.js      | JavaScript         |        133 |          0 |         16 |        149 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\device\Device.vue              | Vue                |         77 |          0 |          7 |         84 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\device\DeviceEdit.vue          | Vue                |         66 |          0 |          3 |         69 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\device\DeviceName.vue          | Vue                |         67 |          0 |          8 |         75 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\device\devices.js              | JavaScript         |        111 |          1 |          5 |        117 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\firewall\Add.vue               | Vue                |        210 |          0 |         11 |        221 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\firewall\Firewall.vue          | Vue                |        290 |          0 |         15 |        305 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\Index.vue                 | Vue                |        190 |          0 |         16 |        206 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\OnlineAllMap.vue          | Vue                |         75 |          0 |          9 |         84 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\OnlineMap.vue             | Vue                |         87 |          0 |          9 |         96 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowForward.vue     | Vue                |        149 |          0 |         11 |        160 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowMessenger.vue   | Vue                |        111 |          0 |         12 |        123 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowRelay.vue       | Vue                |        141 |          0 |         10 |        151 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowSForward.vue    | Vue                |        141 |          0 |         10 |        151 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowSocks5.vue      | Vue                |        149 |          0 |         11 |        160 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowTunnel.vue      | Vue                |        157 |          0 |         11 |        168 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\flow.js                   | JavaScript         |         20 |          0 |          1 |         21 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\Config.vue             | Vue                |         59 |          0 |          4 |         63 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\EditNode.vue           | Vue                |        123 |          0 |          7 |        130 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\Forward.vue            | Vue                |        105 |          0 |          4 |        109 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\ForwardEdit.vue        | Vue                |        318 |          0 |         13 |        331 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\Nodes.vue              | Vue                |        156 |          0 |          4 |        160 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\SForwardEdit.vue       | Vue                |        320 |          0 |         15 |        335 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\forward.js             | JavaScript         |         45 |          0 |          2 |         47 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\sforward.js            | JavaScript         |         49 |          0 |          4 |         53 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\groups\Groups.vue              | Vue                |        157 |          3 |          5 |        165 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\groups\Index.vue               | Vue                |         84 |          0 |          3 |         87 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\Oper.vue                  | Vue                |        191 |          0 |         28 |        219 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\OperAction.vue            | Vue                |         40 |          0 |          1 |         41 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\OperFirewall.vue          | Vue                |         40 |          0 |          2 |         42 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\OperFlow.vue              | Vue                |         33 |          0 |          1 |         34 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\OperRoutes.vue            | Vue                |         63 |          0 |          4 |         67 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\OperTransport.vue         | Vue                |         40 |          0 |          2 |         42 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\OperWakeup.vue            | Vue                |         40 |          0 |          2 |         42 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\oper.js                   | JavaScript         |         19 |          0 |          1 |         20 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\plan\PlanEdit.vue              | Vue                |        279 |          0 |          9 |        288 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\plan\PlanList.vue              | Vue                |         66 |          0 |          5 |         71 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\plan\PlanShow.vue              | Vue                |         90 |          0 |          7 |         97 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\relay\Config.vue               | Vue                |         83 |          0 |          4 |         87 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\relay\EditNode.vue             | Vue                |        114 |          0 |          4 |        118 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\relay\Nodes.vue                | Vue                |        222 |          0 |          6 |        228 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\Socks5.vue              | Vue                |         32 |          0 |          4 |         36 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\Socks5Edit.vue          | Vue                |         87 |          0 |          3 |         90 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\Socks5Lan.vue           | Vue                |        146 |          0 |          5 |        151 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\Socks5Show.vue          | Vue                |        138 |          0 |          9 |        147 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\socks5.js               | JavaScript         |         58 |          0 |          6 |         64 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\Api.vue                 | Vue                |         53 |          0 |          1 |         54 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\Export.vue              | Vue                |        264 |          0 |         17 |        281 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\Index.vue               | Vue                |         70 |          1 |          6 |         77 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\server\Flow.vue         | Vue                |         43 |          0 |          3 |         46 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\server\Index.vue        | Vue                |         40 |          0 |          4 |         44 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\server\Version.vue      | Vue                |        151 |          0 |         11 |        162 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\stopwatch\Stopwatch.vue        | Vue                |         73 |          0 |          6 |         79 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\sync\Ids.vue                   | Vue                |         54 |          0 |          4 |         58 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\sync\Index.vue                 | Vue                |         92 |          0 |          3 |         95 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\transport\Transport.vue        | Vue                |         93 |          0 |          3 |         96 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\Tunnel.vue              | Vue                |        147 |          0 |         13 |        160 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\TunnelEdit.vue          | Vue                |        124 |          0 |          6 |        130 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\tunnel.js               | JavaScript         |         74 |          0 |          4 |         78 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\Tuntap.vue              | Vue                |         30 |          0 |          3 |         33 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapEdit.vue          | Vue                |         79 |          0 |          5 |         84 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapForward.vue       | Vue                |        191 |          0 |         10 |        201 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapIP.vue            | Vue                |        114 |          0 |          7 |        121 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapLan.vue           | Vue                |        149 |          0 |          5 |        154 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapLease.vue         | Vue                |        134 |          0 |          6 |        140 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapShow.vue          | Vue                |        177 |          0 |         12 |        189 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\tuntap.js               | JavaScript         |         77 |          0 |         11 |         88 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\updater\Config.vue             | Vue                |         37 |          0 |          2 |         39 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\updater\UpdaterBtn.vue         | Vue                |        154 |          0 |          8 |        162 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\updater\UpdaterConfirm.vue     | Vue                |         98 |          0 |          9 |        107 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\updater\updater.js             | JavaScript         |         56 |          0 |          7 |         63 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wakeup\Add.vue                 | Vue                |        216 |          0 |          6 |        222 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wakeup\Wakeup.vue              | Vue                |        210 |          0 |          9 |        219 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wlist\Add.vue                  | Vue                |        151 |          0 |         10 |        161 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wlist\Index.vue                | Vue                |         25 |          0 |          4 |         29 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wlist\Manager.vue              | Vue                |        151 |          0 |          7 |        158 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\Index.vue                     | Vue                |         86 |          0 |          4 |         90 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\action\Index.vue              | Vue                |         25 |          0 |          0 |         25 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\config\Config.vue             | Vue                |         96 |          7 |          5 |        108 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\config\Index.vue              | Vue                |         29 |          0 |          0 |         29 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\firewall\Index.vue            | Vue                |         35 |          0 |          3 |         38 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\head\Background.vue           | Vue                |         80 |          0 |          6 |         86 |
| c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\head\Index.vue                | Vue                |        104 |          0 |         15 |        119 |
